UID;Molecular Formula
1128;C$_{34}$H$_{20}$
1129;C$_{34}$H$_{20}$
1130;C$_{34}$H$_{20}$
1131;C$_{34}$H$_{20}$
1132;C$_{34}$H$_{20}$
1133;C$_{34}$H$_{20}$
1134;C$_{34}$H$_{20}$
1135;C$_{34}$H$_{20}$
1136;C$_{34}$H$_{20}$
1137;C$_{34}$H$_{20}$
1138;C$_{34}$H$_{20}$
1139;C$_{34}$H$_{20}$
1140;C$_{34}$H$_{20}$
1141;C$_{34}$H$_{20}$
1142;C$_{34}$H$_{20}$
1143;C$_{34}$H$_{18}$
1144;C$_{33}$H$_{19}$
1145;C$_{33}$H$_{19}$
1146;C$_{33}$H$_{19}$
1147;C$_{33}$H$_{19}$
1148;C$_{33}$H$_{19}$
1149;C$_{33}$H$_{19}$
1150;C$_{33}$H$_{19}$
1151;C$_{33}$H$_{19}$
1152;C$_{33}$H$_{19}$
1153;C$_{33}$H$_{19}$
1154;C$_{33}$H$_{19}$
1155;C$_{33}$H$_{19}$
1156;C$_{33}$H$_{19}$
1157;C$_{33}$H$_{19}$
1158;C$_{33}$H$_{19}$
1159;C$_{33}$H$_{19}$
1160;C$_{33}$H$_{19}$
1161;C$_{33}$H$_{19}$
1162;C$_{33}$H$_{19}$
1163;C$_{33}$H$_{19}$
1164;C$_{33}$H$_{19}$
1165;C$_{33}$H$_{19}$
1166;C$_{33}$H$_{19}$
1167;C$_{33}$H$_{19}$
1168;C$_{33}$H$_{19}$
1169;C$_{33}$H$_{19}$
1170;C$_{33}$H$_{19}$
1171;C$_{33}$H$_{19}$
1172;C$_{33}$H$_{19}$
1173;C$_{33}$H$_{19}$
1174;C$_{33}$H$_{19}$
1175;C$_{33}$H$_{19}$
1176;C$_{33}$H$_{19}$
1177;C$_{33}$H$_{19}$
1178;C$_{33}$H$_{19}$
1179;C$_{33}$H$_{19}$
1180;C$_{33}$H$_{19}$
1181;C$_{33}$H$_{19}$
1182;C$_{33}$H$_{19}$
1183;C$_{33}$H$_{19}$
1184;C$_{33}$H$_{19}$
1185;C$_{33}$H$_{19}$
1186;C$_{33}$H$_{19}$
1187;C$_{33}$H$_{19}$
1188;C$_{33}$H$_{19}$
1189;C$_{33}$H$_{19}$
1190;C$_{33}$H$_{19}$
1191;C$_{33}$H$_{19}$
1192;C$_{33}$H$_{19}$
1193;C$_{33}$H$_{19}$
1194;C$_{33}$H$_{19}$
1195;C$_{33}$H$_{19}$
1196;C$_{33}$H$_{19}$
1197;C$_{33}$H$_{19}$
1198;C$_{33}$H$_{19}$
1199;C$_{33}$H$_{19}$
1200;C$_{33}$H$_{19}$
1201;C$_{33}$H$_{19}$
